"title","text"
"StAS.1.1.1.C.NullCounty.Contents_and_Misc","      the       statistical account       of       scotland.  "
"StAS.1.1.1.P.Roxburgh.Jedburgh","      statistical account                of             scotland.               part i.              number i.         parish of jedburgh.    from materials furnished by the rev. dr. thomas somer-                  ville minister of jedburgh.       origin of the name.  in a charter granted by william the lyon of scotland, to the abbot and monks of jedburgh, in the year 1165*, the names of jedwarth and jedburgh are promiscuously used; but in modern times the name of jedburgh alone is retained.  the name is sometimes written with a g; and is said to be derived from the gadeni, a tribe who antiently in- habited the whole tract of country that lies between nor- thumberland and the river tiviot.  it was perhaps the capi- tal city belonging to the tribe, and hence obtained the name of gadburgh or jedburgh.   vol. i.                       a                     extent.  <footnote>  * a fac simile copy of this charter was published at edin- burgh by a. bell, anno 1771.  "
"StAS.1.1.10.C.NullCounty.Contents_and_Misc"," number of houses      uninhabited houses      dove-cots, and to what extent they are destructive      to the crops      horses, their nature, and value      cattle and ditto      sheep and ditto      swine and ditto  minerals in general mineral springs coal and fuel eminent men antiquities parochial records miscellaneous observations character of the people their manners, customs, stature, etc. advantages and disadvantages means by which their situation could be meliorated  "
"StAS.1.1.10.P.Roxburgh.Jedburgh","      statistical account  sown in the ground immediately surrounding the town of  jedburgh, and some on tiviot fide; but little or none in the south part of the parish.  turnips and potatoes are a gene- ral crop all over this country.  the culture of turnips, in particular, has been much studied, and is greatly extended; every farmer laying out a great portion of his land in them. the soil of this country is believed to be more suit- able to the growth of turnips, than that of any other part of scotland.  formerly they were accustomed to feed cattle, in the house, with turnips; but it is now found more profitable, and has become more frequent, to let the sheep eat them in the fields.  it may be proper to observe, that, from the ex- perience of some of the most skilful farmers, calves and sheep- hogs may be fed, with great profit and safety, upon turnips; and that young beasts fed on turnips attain the same size and value, at two years old, that they formerly did at three, when fed on grass.  it was formerly a common prejudice in this country, and still prevails in other places, that turnips were noxious to young animals.     a considerable quantity of peace, of a new beans, a great quan- tity of clover and rye-grass, are sown in this parish; but little flax or hemp, excepting some for private use.  oats are sown from the beginning of march to the end of april.  early oats have been much used of late, and are found to be a great improvement.  the barley is sown from the middle of april to the end of may:  the turnips from the beginning of june to the middle of july: the greater poriton, i believe, in drills.  some wheat is sown in september, but more in oc- tober. the wheat is generally sown after potatoes, or fal- low; the barley, and grass feeds, after turnips; oats upon ley, or after fallow, or pairing and burning. a greater quan- tity of every species of grain, than what is necessary for the  "
"StAS.1.1.101.P.Ayrshire.Coylton","      of caylton.       number xii.       parish of coylton.       by the rev. mr david shaw.       name, situtation, extent, soil, and surface.     there is a tradition, though it is believed very ill founded, that coylton derives its name from a king called coilus, who was killed in battle in the neighbourhood, and buried at the church of coylton.  this parish is in the district of the county of air called kyle, in the presbytery of air, and synod of glasgow and air.  it is 7 miles long, and, at an average, about 2 broad.  it is bounded on the south by damellington, on the east by stair, on the north by tarbol- ton and st quivox, on the west by air, and on the south- west by dalrymple.  the soil of the greater part of the parish is clayey, which, when properly cultivated, is abudantly fer- tile.  the holms near the rivers of air and of kyle, are fer- tile and dry.  the parish, in general, is flat; one farm, how- ever, on the south is rather high ground.     population.-forty years ago, the farms were in general small and run-rig, which was necessarily an obstacle to im- provement.  the proprietors at that time occupied their own lands, and kept them in grass, which, of course, diminished the number of inhabitants.  the lands being afterwards  "
"StAS.1.1.102.P.Ayrshire.Coylton","      statistical account  properly divided, were let in larger farms, and population again increased.  the number of inhabitants, as returned to dr webster, was 527; at present they amount to 667.  for these last eight years, the annual average of baptisms is about 15; of marriages 9; and of burials 16.     poor.-10 or 12 poor persons are generally supported by the session.  the funds are about l. 50 sterling at interest, and the weekly collections made at the church.     rent.-the valued rent of the parish is l. 3330 scots; the real rent about l. 2000 sterling.  the number of heri- tors is 9; of whom reside in the parish.     church and stipend.-the church, which is an old preben- dary, was repaired about 16 years ago.  the manse was built in 1750.  the stipend is 5 chalders of virtual, half meal half barley, 500 merks of money, and 100 merks for communion elements.     miscellanous observations.-the air is wholesome.  there are three considerable lakes, particularly one called martor- ham, a mile long, and in some parts a quarter of a mile broad.  lime, marle, and several strata of coal, are lately found.  coal is the only fuel used in the parish.  there are several plantations:  both they and the natural woods are in a thriving state.  a labourer's wages are 1 s. per day.  all the inhabitants of this parish belong to the established church.  "
"StAS.1.1.104.P.Ayrshire.Ballantrae","      statistical account  of ballantrae, is in general high and rocky, having a tremen- dous surf or swell beating against it, when the wind blow from the west and north-west.  opposite to this coast the sea appears land-locked, for a most spacious bay of nearly 25 or 30 leagues diameter is formed by part of the coast of gal- loway, the most part of the two counties of down and an- trim in ireland, the east coast of argyleshire, and part of dumbartonshire, and by the whole stretch of coast along the shire of ayr for about 80 miles; all this vast extent of coast is easily discernible by the naked eye in a clear day, together with the islands of sana, annan, lamlash, bute, and the two small islands of cumbray.  about four or five leagues north- west from ballantrae stands the island of elsay:  it is a most beautiful rock of a conical figure, covered on the top with heath and a little grass.  it is not inhabited by any human creature; but affords refuge to an immense number of sea fowls who breed on it, and is stocked with rabbits and a few goats.  it is the property of the earl of cassillis; and is rented at l. 25 sterling a year, the tenants paying their rent from the feathers of the different sea sowls, from the solan geese that breed on it, and the rabbit skins.  it affords a fine object all round that coast, and a mark for ships either com- ing into, or going out of the frith of clyde.  there is an old ruinous castle on it, about a third part up the rock, said by campbell, in his political survey of britain, to have been built by phillip ii. of spain, but on what authority is not known.  there are four light-houses, one at the new built harbour of portpatrick, another at the town of donag- hadee, a third on the mull of cantyre, and a  fourth on the island of cambray; and it might be of singular use to the towns of air, irvine, and salcoats, which carry on a consi- derable trade with ireland, and the towns on the west of england, is a fifth light-house was erected on a small low  "
"StAS.1.1.105.P.Ayrshire.Ballantrae","      of ballantrae.  island, called the lady isle, in the bay of air.  the shore all along that part of the coast is flat and  sandy; the bay is deep, and the entrance into the harbours strait and difficult.     surface, soil, etc.-the land in this parish rises with a gradual slop from the shore to the tops of the mountains, which form part of that extensive range of hills that stretches across the south of scotland, almost from the irish sea to the frith of forth beyond edinburgh.  near the shore the soil in general is a light, dry, hazle mould, upon a gravel bottom, and for the most part but thin.  the surface is much diver- sified with heights and hollows, intersected with a great num- ber of little streams of water descending from the hills.  all beyond the mountains is a soft mossy ground covered with heath, and a thin long grass called ling by the country peo- ple.  'even below the mountains, heath is the prevailing ap- pearance, excepting where the ground has been in tillage, or immediately upon the shore, where there is some very fine natural grass.  the ground is in general adapted to the  breeding and feeding of black cattle and sheep, and is uni- versally applied to that purpose, excepting the grain which the inhabitants raise for their own use.     population and condition of the people.-there are 770 in the parish, and of these about 300 are in the village.  the annual number of births is 18.  the number of deaths cannot be so well ascertained, as it is but of late years that a register of them was kept at all, and even that not accurate- ly, and the marriages still less.  the marriages, as would be expected, from the situation and habits of life of the peo- ple in the country, are, in general, prolisic.  instances are to be met with of a woman bearing fourteen children to one  husband.  the average of births to each mar- riage may be taken at six.  the inhabitants are lodged       vol. i. o  "
"StAS.1.1.106.P.Ayrshire.Ballantrae","      statistical account  in about 190 dwelling houses, which is a little more than 4 persons to each house.  one hundred and thirteen of the  houses are in what is called the country; the other 77 make the village or town of ballantrae.  the inhabitants of both town and country enjoy the comforts of society, in propor- tion to their circumstances, in a superior degree to others in similar conditions of life.  these satisfactions are owing to various causes, all contributing their mite to render them healthy, easy, and contented, and, in general, chearsol.     climate, diseases, etc.-their local situation, a high, open, and dry soil, with upwards of 10 miles of sea coast, exposed to the salubrious breezes of the western ocean, together with their rural employments, renders the inhabitants uncommon- ly healthy.  epidemical distempers, excepting the common disorders incident to children, are unknown.  deaths, except from particular accidents, are confined to infancy and old age. there are a greater number to be met with in this parish dying above 80 years of age than in most others.  it is to be lamented that innoculation for the small-pox is not more practiced.  there are very few families through the country part of the parish, but what have a piece of ground along with their house and yard, that enables them to keep one or more cows, and two or three sheep.  the young of their cows, when a year old, sells for 30 s. or 50 s. which pays two- thirds of their rent.  with the produce of their little piece of ground, furnishing bread and potatoes, and the milk of a cow, together with their own work, they are enabled to live comfortably, to clothe and educate their children decently, and to assist in setting them out in the world.  the inhabi- tants of the village, which lies close upon the shore, enjoy advantages peculiar to their situation.     "
"StAS.1.1.107.P.Ayrshire.Ballantrae","      of ballantrae.     rent, produce, etc.-the valued rent of the parish is l. 3551: 1: 6 scots.  it is believed that the real rent, in- cluding fisheries, is not much short of l. 2000 sterling. the rent of arable land is from one to two guineas an acre, and of pasture, in its natural state, 10 s. and 12 s. and acre. the farms are of very unequal rent and extent, being from l. 10 to l. 115 a year.  about 12,000 sheep, 3000 black cattle, a few scores of goats, and perhaps 200 horses, are kept in the parish; and 600 or 800 acres of the ground may be employed in tillage.  almost the only crop is oats, with an acre or two of barley to a family, some pease, and generally as many potatoes as serve the family twice a day for 7 or 8 months in the year.  few or no cottagers are now employed by the farmers of this parish in agriculture, nor have been for a long while past.  a cottager's benefit, (as it is called) is commonly from l. 10 to l. 15 a year; the wages of a hired  servant is from l. 6 to l. 7 a year.  farmers who have graz- ing farms, upon which they do not reside themselves, are o- bliged to employ cottagers to take care of the stock upon them; and it is considered as so desirable a situation, that those farmers who have occasion for married herds to take care of their stock, have it generally in their power to make a choice.  the black cattle are of a small handsome kind: the cows, when fattened, weigh from 18 to 27 stone.  the sheep, when killed off the common open pasture, at 2 and 3 years old weigh from 30 to 50 lb.  the chief staple com- modify is raising young cattle and sheep.  the  young cattle are for the most part sold to the grazier when half sums, that is, when two years and a half old, and are changed from hand to hand till they are four or five years old, when they are sent up to st. faith and hampton fairs in england, and make part of what are called the fine scots galloways.  the sheep are sold at two and three years old, to supply the de-     "
